iteration,train_loss,val_loss,epsilon
0,5.591518878936768,5.589366912841797,50
5,5.425444602966309,5.439785003662109,50
10,5.318727016448975,5.339041709899902,50
15,5.250420093536377,5.287282943725586,50
20,5.181325912475586,5.196465015411377,50
25,5.1049323081970215,5.17555046081543,50
30,5.10661506652832,5.117329120635986,50
35,5.103896141052246,5.049497127532959,50
40,5.045844078063965,5.057703018188477,50
45,4.983768463134766,4.994050979614258,50
50,4.960320949554443,5.008279800415039,50
55,4.959441184997559,5.0008955001831055,50
60,4.920637607574463,4.957178115844727,50
65,4.852232456207275,4.906865119934082,50
70,4.861347198486328,4.865653038024902,50
75,4.84469747543335,4.798089027404785,50
80,4.831124305725098,4.814164161682129,50
85,4.785825729370117,4.837798118591309,50
90,4.771246910095215,4.775047779083252,50
95,4.719328880310059,4.746480941772461,50
