iteration,train_loss,val_loss,epsilon
0,5.591519355773926,5.589366912841797,50
5,5.425431251525879,5.439769744873047,50
10,5.318711280822754,5.3390045166015625,50
15,5.250396728515625,5.28724479675293,50
20,5.181308269500732,5.196429252624512,50
25,5.104917526245117,5.1755266189575195,50
30,5.106607437133789,5.117312431335449,50
35,5.1038923263549805,5.049493789672852,50
40,5.04583740234375,5.057694435119629,50
45,4.983764171600342,4.994047164916992,50
50,4.960317611694336,5.008277893066406,50
55,4.959433078765869,5.00089168548584,50
60,4.9206318855285645,4.957170486450195,50
65,4.852224349975586,4.906854629516602,50
70,4.861336708068848,4.865640163421631,50
75,4.844688415527344,4.798080921173096,50
80,4.831116676330566,4.814151763916016,50
85,4.785819053649902,4.837785720825195,50
90,4.771238327026367,4.775035381317139,50
95,4.719326019287109,4.74647331237793,50
