iteration,train_loss,val_loss,epsilon
0,5.619585990905762,5.617713928222656,20
5,5.4698486328125,5.478688716888428,20
10,5.365138053894043,5.359816074371338,20
15,5.296321868896484,5.295340538024902,20
20,5.22484827041626,5.219639301300049,20
25,5.196701526641846,5.18501615524292,20
30,5.1256422996521,5.144458770751953,20
35,5.090413570404053,5.109528541564941,20
40,5.069435119628906,5.053256034851074,20
45,5.011073589324951,5.034604072570801,20
50,5.013622283935547,5.0136637687683105,20
55,4.985295295715332,4.965334892272949,20
60,4.951834678649902,4.929478645324707,20
65,4.928279876708984,4.917068958282471,20
70,4.861387729644775,4.85238790512085,20
75,4.837707042694092,4.821721076965332,20
80,4.833501815795898,4.806210994720459,20
85,4.7843804359436035,4.808757781982422,20
90,4.750304222106934,4.781037330627441,20
95,4.729831218719482,4.692025184631348,20
