iteration,train_loss,val_loss,epsilon
0,5.598863124847412,5.6139044761657715,50
5,5.548072338104248,5.551342010498047,50
10,5.486678600311279,5.4991912841796875,50
15,5.441988945007324,5.451417446136475,50
20,5.3921403884887695,5.3968505859375,50
25,5.343646049499512,5.3252387046813965,50
30,5.288985252380371,5.283546447753906,50
35,5.26518440246582,5.259250164031982,50
40,5.195502758026123,5.217829704284668,50
45,5.17350959777832,5.183355331420898,50
50,5.141820907592773,5.1404924392700195,50
55,5.0732035636901855,5.109558582305908,50
60,5.057602882385254,5.08575439453125,50
65,5.012436866760254,5.026371002197266,50
70,4.993943691253662,5.019155502319336,50
75,4.94191837310791,4.969444274902344,50
80,4.936985969543457,4.909587860107422,50
85,4.870640754699707,4.895082473754883,50
90,4.8448166847229,4.89461088180542,50
95,4.857850074768066,4.867619514465332,50
